legacy_node_id,node_id,pubchem_id,status
"compound::2,6,6-Trimethyl-1-cyclohexene-1-acetaldehyde",compound::61124,61124,unique
"compound::2,6,6-trimethyl-2-hydroxycyclohexanone",compound::101115,101115,unique
"compound::2,6-Di-tert-butyl-4-methylphenol",compound::31404,31404,unique
"compound::2,6-Dimethoxy-4-methylphenol",compound::240925,240925,unique
"compound::2,6-Dimethoxy-4-propylphenol",compound::524975,524975,unique
"compound::2,6-Dimethoxyphenol",compound::7041,7041,unique
"compound::2,6-Dimethyl-4-heptanone",compound::7958,7958,unique
"compound::2,6-Dimethyl-5-heptenal",compound::61016,61016,unique
"compound::2,6-Dimethylphenol",compound::11335,11335,unique
"compound::2,6-Dimethylpyrazine",compound::7938,7938,unique
"compound::2,6-Dimethylpyridine",compound::7937,7937,unique
"compound::2,6-Nonadien-1-ol",compound::34134,34134,unique
"compound::2,6-Nonadienal",compound::636687,636687,unique
compound::2-(4-Hydroxyphenyl)ethanol,compound::10393,10393,unique
compound::2-(4-Methoxyphenoxy)propanoic acid,compound::151199,151199,unique
compound::2-(4-methylphenyl)propan-2-ol,compound::14529,14529,unique
compound::2-(Methoxymethyl)furan,compound::61661,61661,unique
compound::2-(Methylthio)ethanol,compound::78925,78925,unique
compound::2-(Methylthio)phenol,compound::61261,61261,unique
compound::2-Acetyl-1-ethylpyrrole,compound::61988,61988,unique
compound::2-Acetyl-1-methylpyrrole,compound::61240,61240,unique
compound::2-Acetyl-2-thiazoline,compound::169110,169110,unique
compound::2-Acetyl-3-Methylpyrazine,compound::32093,32093,unique
compound::2-Acetyl-3-ethylpyrazine,compound::61918,61918,unique
compound::2-Acetyl-5-Methylfuran,compound::14514,14514,unique
compound::2-Acetylfuran,compound::14505,14505,unique
compound::2-Acetylpyridine,compound::14286,14286,unique
compound::2-Acetylpyrrole,compound::14079,14079,unique
compound::2-Acetylthiazole,compound::520108,520108,unique
compound::2-Acetylthiophene,compound::6920,6920,unique
compound::2-Butanol,compound::6568,6568,unique
compound::2-Butanone,compound::6569,6569,unique
"compound::2-Butenoic acid, hexyl ester",compound::5366038,5366038,unique
compound::2-Butylfuran,compound::20534,20534,unique
compound::2-Decanone,compound::12741,12741,unique
compound::2-Decenoic acid,compound::5282724,5282724,unique
compound::2-Dodecanone,compound::22556,22556,unique
compound::2-Ethyl-1-hexanethiol,compound::110968,110968,unique
"compound::2-Ethyl-3,5-Dimethylpyrazine",compound::26334,26334,unique
compound::2-Ethyl-3-Methoxypyrazine,compound::33135,33135,unique
compound::2-Ethyl-3-Methylpyrazine,compound::27457,27457,unique
"compound::2-Ethyl-4,5-dimethyloxazole",compound::62069,62069,unique
compound::2-Ethyl-4-Methylthiazole,compound::27440,27440,unique
compound::2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone,compound::33931,33931,unique
compound::2-Ethyl-5-Methylpyrazine,compound::25915,25915,unique
compound::2-Ethyl-6-Methylpyrazine,compound::26332,26332,unique
compound::2-Ethylbutanal,compound::7359,7359,unique
compound::2-Ethylbutyric Acid,compound::6915,6915,unique
compound::2-Ethylcyclobutanol,compound::37109,37109,unique
compound::2-Ethylfuran,compound::18554,18554,unique
compound::2-Ethylhexan-1-ol,compound::7720,7720,unique
compound::2-Ethylpyrazine,compound::26331,26331,unique
compound::2-Ethylpyridine,compound::7523,7523,unique
compound::2-Ethylthiazole,compound::85053,85053,unique
compound::2-Furaldehyde,compound::7362,7362,unique
"compound::2-Furanmethanethiol, 5-methyl-",compound::521873,521873,unique
compound::2-Furylacetone,compound::228583,228583,unique
compound::2-Heptanol,compound::10976,10976,unique
compound::2-Heptanone,compound::8051,8051,unique
compound::2-Hepten-4-One,compound::5463238,5463238,unique
compound::2-Heptyl butanoate,compound::529496,529496,unique
compound::2-Heptylfuran,compound::19603,19603,unique
compound::2-Hexanol,compound::12297,12297,unique
